AccountName,PageRank
laythy29,0.000970461674935
statlurker,0.000967611812029
DeanJonesBR,0.00096312351165
RoyalStatSoc,0.00095914695588
FFH_Will,0.000957569825305
stianwestlake,0.000951175259778
OptaJohan,0.00094933243222
LukeBornn,0.000946344097262
scuffedpod,0.000942713940291
ExpectedChelsea,0.000935787148702
FPL_Audit,0.000932300908952
Joelissimmo,0.00092692576137
LeGrove,0.000923520844685
rwohan,0.000921790883803
AlbionAnalytics,0.000918479323854
90sfootball,0.000917745211498
erikelias_,0.000917550267022
Adroit_Cadet,0.000916751362419
TheAFCBeII,0.000913300455921
thevideoanalyst,0.00091002729754
theFPLkiwi,0.000908138032926
NickTriggerlips,0.000904673204176
sistoney67,0.00089682995123
ryanbahia,0.000896086665927
TacticalFouling,0.000894216040563
MattyAnselmo,0.000892668781947
jonollington,0.000891336122696
ThatGooner,0.00088904927057
cc_eckner,0.000886800713461
FB_WHISPERS,0.000882374693271
UnaiEmery_,0.00088110378708
TotalAnalysis,0.000880933596518
GarryGelade,0.000876982347588
AnalyseSport,0.000874214680699
FPLMatthew,0.000872958213684
_reecechambers,0.000870899203715
tomvictor,0.000869558627406
JmooreQuakes,0.000868661253476
DoublePivotPod,0.000866746976181
SharkoTennis,0.000853452505312
Steviegrieve,0.00084484884981
3AmigosFPL,0.000841958694011
the_spearman,0.000834132846137
cainsmithMU,0.00083030920934
AlexShawESPN,0.000829565389622
dcervone0,0.000824522168549
Tacticsplatform,0.000818444453517
GeoffArsenal,0.00081829280284
PaddyArsenal,0.000816589508868
TiotalFootball,0.000815145167337
ATPMediaInfo,0.000814337490737
TBBodell,0.000809063860271
10akhil,0.00080001169133
afcDW,0.000799419527675
SwansAnalytics,0.000799119687614
Caley_graphics,0.000799042541826
AttackingCB,0.000798565956757
balders93,0.00079854405028
LeeGunner82,0.000794726211674
FPL_JJ,0.000791837813573
Shaharyarsays,0.00079151790088
1kevincampbell,0.00079019991482
FFPundits,0.000787892378548
fcbusiness,0.000786755025019
FPLRoosta,0.000785354008319
JMftbl,0.000781653768008
fplfantasyguide,0.00078012044884
ChrisLuv,0.000779251587062
WillTGM,0.000779004475829
FPLStatus,0.000775236913453
TPiMBW,0.000773815525011
Reunewal,0.000768986342186
kickarseHD,0.000767472924988
DistanceCovered,0.000762906635432
AndyHa_,0.000761429513376
robertnhanson,0.000760437471476
experimental361,0.00076015546374
SciSportsNL,0.000759812434695
karun1710,0.000756626609296
PatrickTimmons1,0.000755860984004
TacticoModerno,0.000752951474751
